Epoch #209: episode_reward: 4019.231 ± 42.644,                               episode_length: 1000.000 ± 0.000
Epoch #210: episode_reward: 4330.120 ± 94.513,                               episode_length: 1000.000 ± 0.000
Epoch #211: episode_reward: 4244.581 ± 70.752,                               episode_length: 1000.000 ± 0.000
Epoch #212: episode_reward: 4385.447 ± 71.897,                               episode_length: 1000.000 ± 0.000
Epoch #213: episode_reward: 4104.883 ± 941.843,                               episode_length: 1000.000 ± 0.000
Epoch #214: episode_reward: 3913.575 ± 131.732,                               episode_length: 1000.000 ± 0.000
Epoch #215: episode_reward: 3994.855 ± 94.361,                               episode_length: 1000.000 ± 0.000
Epoch #216: episode_reward: 3406.643 ± 122.114,                               episode_length: 1000.000 ± 0.000
Epoch #217: episode_reward: 2992.500 ± 58.189,                               episode_length: 1000.000 ± 0.000
Epoch #218: episode_reward: 4603.475 ± 55.541,                               episode_length: 1000.000 ± 0.000
Epoch #219: episode_reward: 5055.025 ± 77.351,                               episode_length: 1000.000 ± 0.000
Epoch #220: episode_reward: 4429.273 ± 74.060,                               episode_length: 1000.000 ± 0.000
Epoch #221: episode_reward: 4445.039 ± 92.747,                               episode_length: 1000.000 ± 0.000
Epoch #222: episode_reward: 4326.681 ± 121.566,                               episode_length: 1000.000 ± 0.000
Epoch #223: episode_reward: 4255.911 ± 144.238,                               episode_length: 1000.000 ± 0.000
Epoch #224: episode_reward: 3332.986 ± 92.098,                               episode_length: 1000.000 ± 0.000
Epoch #225: episode_reward: 3628.481 ± 60.381,                               episode_length: 1000.000 ± 0.000
Epoch #226: episode_reward: 4235.603 ± 116.611,                               episode_length: 1000.000 ± 0.000
Epoch #227: episode_reward: 3901.146 ± 56.678,                               episode_length: 1000.000 ± 0.000
Epoch #228: episode_reward: 4161.470 ± 93.568,                               episode_length: 1000.000 ± 0.000
Epoch #229: episode_reward: 4835.703 ± 99.072,                               episode_length: 1000.000 ± 0.000
Epoch #230: episode_reward: 3438.979 ± 91.702,                               episode_length: 1000.000 ± 0.000
Epoch #231: episode_reward: 2555.502 ± 134.736,                               episode_length: 1000.000 ± 0.000
Epoch #232: episode_reward: 2605.793 ± 125.030,                               episode_length: 1000.000 ± 0.000
Epoch #233: episode_reward: 4423.465 ± 30.642,                               episode_length: 1000.000 ± 0.000
Epoch #234: episode_reward: 3592.919 ± 67.135,                               episode_length: 1000.000 ± 0.000
Epoch #235: episode_reward: 3994.280 ± 73.361,                               episode_length: 1000.000 ± 0.000
Epoch #236: episode_reward: 4975.430 ± 121.615,                               episode_length: 1000.000 ± 0.000
Epoch #237: episode_reward: 4572.120 ± 99.482,                               episode_length: 1000.000 ± 0.000
Epoch #238: episode_reward: 3595.664 ± 191.518,                               episode_length: 1000.000 ± 0.000
Epoch #239: episode_reward: 4055.115 ± 86.177,                               episode_length: 1000.000 ± 0.000
Epoch #240: episode_reward: 2954.165 ± 171.196,                               episode_length: 1000.000 ± 0.000
