Epoch #286: episode_reward: 2516.213 ± 16.915,                               episode_length: 1000.000 ± 0.000
Epoch #287: episode_reward: 2565.926 ± 23.752,                               episode_length: 1000.000 ± 0.000
Epoch #288: episode_reward: 2518.995 ± 25.888,                               episode_length: 1000.000 ± 0.000
Epoch #289: episode_reward: 2541.764 ± 26.678,                               episode_length: 1000.000 ± 0.000
Epoch #290: episode_reward: 2362.886 ± 22.439,                               episode_length: 1000.000 ± 0.000
Epoch #291: episode_reward: 2861.965 ± 18.260,                               episode_length: 1000.000 ± 0.000
Epoch #292: episode_reward: 2757.272 ± 23.673,                               episode_length: 1000.000 ± 0.000
Epoch #293: episode_reward: 2687.062 ± 36.676,                               episode_length: 1000.000 ± 0.000
Epoch #294: episode_reward: 2531.522 ± 28.860,                               episode_length: 1000.000 ± 0.000
Epoch #295: episode_reward: 2731.080 ± 23.064,                               episode_length: 1000.000 ± 0.000
Epoch #296: episode_reward: 2765.328 ± 34.616,                               episode_length: 1000.000 ± 0.000
Epoch #297: episode_reward: 2723.079 ± 19.708,                               episode_length: 1000.000 ± 0.000
Epoch #298: episode_reward: 2661.859 ± 36.706,                               episode_length: 1000.000 ± 0.000
Epoch #299: episode_reward: 2611.118 ± 27.686,                               episode_length: 1000.000 ± 0.000
Epoch #300: episode_reward: 2461.268 ± 29.642,                               episode_length: 1000.000 ± 0.000
Epoch #301: episode_reward: 2501.842 ± 29.160,                               episode_length: 1000.000 ± 0.000
Epoch #302: episode_reward: 2512.772 ± 32.762,                               episode_length: 1000.000 ± 0.000
Epoch #303: episode_reward: 2794.559 ± 37.485,                               episode_length: 1000.000 ± 0.000
Epoch #304: episode_reward: 2561.695 ± 9.579,                               episode_length: 1000.000 ± 0.000
